frame,frame_ms,fps,num_kp_left,num_kp_right,num_stereo_matches,num_3d_points,num_pnp_matches,num_pnp_inliers,tracking_ok
136,17.751551999936055,56.333102593148034,2298,2315,551,506,307,285,True
137,17.788022999980058,56.217602147305584,2293,2267,591,535,350,322,True
138,17.74075299999822,56.36739319915565,2260,2315,632,584,372,366,True
139,17.63043200003267,56.7201075956702,2251,2244,599,555,402,387,True
140,17.415313000014976,57.42073082459902,2195,2190,677,638,376,367,True
141,17.098402999977225,58.484994183452805,2139,2081,787,729,436,422,True
142,16.67229200006659,59.979755632639225,2039,2054,864,829,508,500,True
143,17.06027299997004,58.615709139106755,2032,2039,935,886,579,553,True
144,16.519592999998167,60.53417902003463,1979,1964,920,879,630,618,True
145,16.17528199994922,61.822724327349555,1938,1949,903,868,611,592,True
146,15.94692200001191,62.70802603783057,1909,1908,928,890,563,549,True
147,15.692072999968332,63.726443281395525,1873,1879,882,835,594,573,True
148,15.582031999997525,64.17648224571474,1844,1894,858,814,559,551,True
149,15.372932999980549,65.04939558386583,1832,1875,829,783,536,519,True
150,15.923842000006516,62.798914985440746,1900,1945,875,838,542,518,True
151,16.280063000067457,61.42482372432198,1972,2048,888,853,562,555,True
152,16.93961200010108,59.03322933217319,2079,2143,893,848,580,565,True
153,16.783852999992632,59.58107473894337,2173,2216,964,922,572,559,True
154,17.372981999983494,57.56064215118337,2233,2241,937,878,581,556,True
155,17.479993000051763,57.208260895587244,2256,2245,890,848,552,539,True
156,17.6488329999529,56.66097016174773,2298,2300,899,852,527,508,True
157,17.814982999993845,56.13252620001633,2298,2302,942,892,512,504,True
158,17.861221999964982,55.98721072958841,2300,2352,879,843,527,516,True
159,18.014113000049292,55.51203103906718,2344,2347,815,778,484,469,True
160,17.94184300001689,55.735634293481375,2346,2322,792,760,455,444,True
161,18.02059300007386,55.49206954487577,2342,2330,764,736,440,427,True
162,18.13171199989938,55.1519900605938,2350,2313,696,671,413,394,True
163,18.29807299998265,54.65056347741908,2335,2284,732,697,385,362,True
164,18.319132999977228,54.587736220990536,2313,2314,699,669,373,345,True
165,18.02428299993153,55.48070899706794,2310,2331,659,625,368,352,True
166,17.996963000086907,55.5649305938547,2270,2285,582,558,342,336,True
167,18.030392000014217,55.4619111996684,2248,2265,627,588,305,296,True
168,17.562583000085397,56.93923268548468,2265,2279,645,616,336,330,True
169,17.736053000021457,56.3823303865178,2259,2259,577,547,324,297,True
170,17.856492000078106,56.00204116215133,2272,2238,531,502,309,287,True
171,17.681812999967406,56.55528649702626,2207,2208,579,543,296,275,True
172,17.433433000064724,57.361048738724456,2166,2153,604,570,337,316,True
173,16.487402000052498,60.652369609039425,2058,2096,568,537,339,323,True
174,15.981882999994923,62.57084975533344,2037,2068,581,537,355,349,True
175,15.989342000011675,62.54166056359729,2063,2025,647,622,342,333,True
176,16.157392999957665,61.89117266644564,2050,2046,716,685,389,381,True
177,16.293141999994987,61.37551615276585,2083,2076,730,698,433,411,True
178,16.40785299991876,60.94642608054517,2085,2086,729,705,433,410,True
179,16.285562000007303,61.40408295394114,2103,2086,679,647,424,420,True
180,16.16987300008077,61.843404706703936,2066,2103,649,623,399,396,True
181,16.71590199998718,59.823274867295034,2062,2089,626,596,373,367,True
182,16.29861300000357,61.3549140653736,2071,2115,607,581,376,362,True
183,16.198302000020703,61.734865790174915,2084,2109,596,575,380,361,True
184,15.990023000085785,62.53899697296465,2063,2122,616,594,393,388,True
185,16.40381200002139,60.96143993839335,2167,2178,636,610,416,402,True
186,16.5829830000348,60.30278147169911,2190,2248,630,599,423,404,True
187,16.94852200000696,59.00219499963415,2236,2265,614,575,417,392,True
188,16.85227300004044,59.33917638277046,2235,2300,578,541,392,386,True
189,17.024783000010757,58.73789991915716,2233,2301,575,552,361,353,True
190,17.291771999907724,57.83097302030911,2267,2301,529,492,359,329,True
191,17.281793000051948,57.864366272469184,2266,2321,553,523,316,300,True
192,17.206423000061477,58.11783192802055,2239,2301,505,477,355,348,True
193,17.35757200003718,57.61174431526817,2271,2307,497,475,313,293,True
194,17.352922999975817,57.627179006176284,2271,2292,526,485,308,296,True
195,17.228423000005932,58.04361780527769,2261,2265,520,478,310,298,True
196,17.346372000019983,57.6489423839664,2253,2250,470,439,295,268,True
197,17.131173000052513,58.37311899173131,2206,2261,510,479,280,279,True
198,17.09247199994479,58.50528817617662,2179,2212,516,486,278,264,True
199,16.85623299999861,59.32523595278271,2138,2187,502,481,253,239,True
