stage,count,mean_ms,median_ms,p95_ms,min_ms,max_ms
feature_extraction,200,9.015530565000063,6.6787509999812755,7.181439949903279,5.306470999926205,482.98320399999284
load_preprocess,200,6.046104250000326,5.970040500017149,6.114722499995651,5.794390999994903,17.940253000006123
pose_estimation_pnp,199,2.632477537688019,2.486419999968348,2.8986839000140208,2.1196499999405205,25.812643999984175
stereo_triangulation,200,2.3667695149958945,2.345455000011043,2.8302670000186936,1.8879209999340674,6.963321000057476
